,Country,Universities Names,University Place,Tuition Fees,Living Fees,Top Course,Exam Score
1256, Usa,"Emmanuel College Boston, Boston","Massachusetts, Usa",₹14L/Yr,₹17L/Yr,M.S Business Analytics,"['GRE - 299', 'TOEFL - 70', 'PTE - 53']"
1257, Usa,"State University of New York Fredonia, Fredonia","New York, Usa",₹26L/Yr,₹12L/Yr,M.B.A,"['IELTS - 7', 'PTE - 85']"
1258, Usa,"Fresno Pacific University, Fresno","California, Usa",₹18L/Yr,₹13L/Yr,M.B.A,['TOEFL - 109']
1259, Usa,"Frostburg State University, Frostburg","Maryland, Usa",₹34L/Yr,₹10L/Yr,M.B.A,['IELTS - 7.5']
1260, Usa,"Texas A&M University, Galveston","Texas, Usa",₹32L/Yr,₹14L/Yr,M.B.A,
1261, Usa,"Indiana University Northwest, Gary","Indiana, Usa",₹13L/Yr,₹11L/Yr,M.B.A,
1262, Usa,"College of DuPage, Glen Ellyn","Illinois, Usa",₹35L/Yr,₹12L/Yr,M.S Business Analytics,
1263, Usa,"Arcadia University, Glenside","Pennsylvania, Usa",₹21L/Yr,₹8L/Yr,M.B.A,
1264, Usa,"Colorado Mesa University, Grand Junction","Colorado, Usa",₹19L/Yr,₹16L/Yr,M.B.A,
1265, Usa,"Davenport University, Grand Rapids","Michigan, Usa",₹52L/Yr,₹17L/Yr,Master of Supply Chain Managemen...,
1266, Usa,"Bard College at Simon's Rock, Great Barrington","Massachusetts, Usa",₹29L/Yr,₹15L/Yr,M.B.A,
1267, Usa,"Montana State University, Great Falls","Montana, Usa",₹17L/Yr,₹13L/Yr,M.B.A,
1268, Usa,"University of Wisconsin, Green Bay","Wisconsin, Usa",₹17L/Yr,₹12L/Yr,M.B.A,
1269, Usa,"Seton Hill University, Greensburg","Pennsylvania, Usa",₹17L/Yr,₹16L/Yr,M.S Supply Chain Management,
1270, Usa,"Bob Jones University, Greenville","South Carolina, Usa",₹16L/Yr,₹11L/Yr,M.B.A,
1271, Usa,"Purdue University - Northwest, Hammond","Indiana, Usa",₹29L/Yr,₹11L/Yr,M.B.A,
1272, Usa,"Montana State University - Northern, Havre","Montana, Usa",₹13L/Yr,₹9L/Yr,M.S Information Technology and A...,
1273, Usa,"Fort Hays State University, Hays","Kansas, Usa",₹27L/Yr,₹4L/Yr,M.P.H,
1274, Usa,"New England College, Henniker","New Hampshire, Usa",₹12L/Yr,₹8L/Yr,M.B.A,
1275, Usa,"Florida National University, Hialeah","Florida, Usa",₹24L/Yr,₹8L/Yr,M.B.A,
1276, Usa,"Hawaii Pacific University, Honolulu","Hawaii, Usa",₹18L/Yr,₹3L/Yr,M.B.A,
1277, Usa,"University of Houston - Downtown, Houston","Texas, Usa",₹34L/Yr,₹1L/Yr,M.B.A,
1278, Usa,"Houston Baptist University, Houston","Texas, Usa",₹13L/Yr,₹2L/Yr,M.Bus Data Science,
1279, Usa,"West Virginia State University, Institute","West Virginia, Usa",₹34L/Yr,₹16L/Yr,M.B.A,
1280, Usa,"Jacksonville University, Jacksonville","Florida, Usa",₹18L/Yr,₹11L/Yr,M.B.A,
1281, Usa,"Jacksonville State University, Jacksonville","Alabama, Usa",₹19L/Yr,₹12L/Yr,M.B.A,
1282, Usa,"University of Jamestown, Jamestown","North Dakota, Usa",₹32L/Yr,₹8L/Yr,M.B.A,
1283, Usa,"Saint Peter's University, Jersey City","New Jersey, Usa",₹17L/Yr,₹3L/Yr,"M.Sc Logistics, Data Analytics a...",
1284, Usa,"University of Kansas Medical Center, Kansas City","Kansas, Usa",₹25L/Yr,₹12L/Yr,M.S Supply Chain Management,
1285, Usa,"Avila University, Kansas City","Missouri, Usa",₹15L/Yr,₹4L/Yr,M.S Information Systems and Oper...,
1286, Usa,"University of Nebraska, Kearney","Nebraska, Usa",₹18L/Yr,₹12L/Yr,M.B.A Pharmaceutical and Healthc...,
1287, Usa,"University of Wisconsin - Parkside, Kenosha","Wisconsin, Usa",₹7L/Yr,₹8L/Yr,M.S Business Analytics,
1288, Usa,"Lake Washington Institute of Technology, Kirkland","Washington, Usa",₹18L/Yr,₹7L/Yr,M.S Business Analytics,
1289, Usa,"Indiana University Kokomo, Kokomo","Indiana, Usa",₹11L/Yr,₹2L/Yr,B.B.A,
1290, Usa,"Kutztown University, Kutztown","Pennsylvania, Usa",₹18L/Yr,₹81K/Yr,B.Eng Electrical and Electronic ...,
1291, Usa,"Eastern Oregon University, La Grande","Oregon, Usa",₹10L/Yr,₹4L/Yr,Diploma Engineering,
1292, Usa,"National University, La Jolla","California, Usa",₹37L/Yr,₹12K/Yr,Diploma Information Technology,
1293, Usa,"Saint Martin's University, Lacey","Washington, Usa",₹8L/Yr,₹3L/Yr,Diploma Nursing,
1294, Usa,"McNeese State University, Lake Charles","Louisiana, Usa",₹4L/Yr,₹6L/Yr,Diploma Information Technology,
1295, Usa,"Florida Polytechnic University, Lakeland","Florida, Usa",₹17L/Yr,₹7L/Yr,B.S Game Programming,
1296, Usa,"Texas A&M International University, Laredo","Texas, Usa",₹12L/Yr,₹61K/Yr,Diploma 3D Animation and Visual ...,
1297, Usa,"New Mexico Highlands University, Las Vegas","Nevada, Usa",₹25L/Yr,₹22K/Yr,Global Master of Business Admini...,
1298, Usa,"St.  Andrews University, Laurinburg","North Carolina, Usa",₹15L/Yr,₹57K/Yr,Master of Business Information S...,
1299, Usa,"Cameron University, Lawton","Oklahoma, Usa",₹16L/Yr,₹4L/Yr,M.B.A International Tourism Mana...,
1300, Usa,"Cumberland University, Lebanon","Tennessee, Usa",₹17L/Yr,₹2K/Yr,M.B.A International Business,
1301, Usa,"Lewis - Clark State College, Lewiston","Idaho, Usa",₹18L/Yr,₹6L/Yr,M.B.A Accounting,
1302, Usa,"University of West Alabama, Livingston","Alabama, Usa",₹23L/Yr,₹73K/Yr,Diploma in Data Analytics,
1303, Usa,"Madonna University, Livonia","Michigan, Usa",₹32L/Yr,₹9L/Yr,M.S Computer Science,
1304, Usa,"Bay Path University, Longmeadow","Massachusetts, Usa",₹28L/Yr,₹13L/Yr,M.B.A,
1305, Usa,"LeTourneau University, Longview","Texas, Usa",₹34L/Yr,₹5L/Yr,M.B.A (General),
1306, Usa,"Saint Francis University, Loretto","Pennsylvania, Usa",₹35L/Yr,₹6L/Yr,M.B.A,
1307, Usa,"Woodbury University, Burbank","California, Usa",₹39L/Yr,₹4K/Yr,M.S Computer Science,
1308, Usa,"Dongguk University, Los Angeles","California, Usa",₹6L/Yr,₹43K/Yr,M.B.A,
1309, Usa,"Pacific States University, Los Angeles","California, Usa",₹28L/Yr,₹12K/Yr,M.B.A Finance,
1310, Usa,"Southern California Institute of Architecture, Los Angeles","California, Usa",₹17L/Yr,₹8L/Yr,M.B.A,
1311, Usa,"DeVry University - California, Long Beach","California, Usa",₹14L/Yr,₹1L/Yr,M.B.A,
1312, Usa,"Sullivan University, Louisville","Kentucky, Usa",₹9L/Yr,₹3L/Yr,Digital Marketing with Co-op,
1313, Usa,"Dakota State University, Madison","South Dakota, Usa",₹28L/Yr,₹41K/Yr,M.I.M Business Management,
1314, Usa,"Fairleigh Dickinson University, Madison","New Jersey, Usa",₹13L/Yr,₹37K/Yr,M.I.M,
1315, Usa,"Southern Arkansas University, Magnolia","Arkansas, Usa",₹15L/Yr,₹20K/Yr,I.M.B.A,
1316, Usa,"Southern New Hampshire University, Manchester","New Hampshire, Usa",₹14L/Yr,₹6L/Yr,M.S Applied Computer Science,
1317, Usa,"Fashion Institute of Technology, New York City","New York, Usa",₹17L/Yr,₹5L/Yr,M.D,
1318, Usa,"Northern Michigan University, Marquette","Michigan, Usa",₹9L/Yr,₹80K/Yr,M.A Hospitality and Tourism Mana...,
1319, Usa,"Southwest Minnesota State University, Marshall","Minnesota, Usa",₹14L/Yr,₹31L/Yr,M.Eng Computer Science,
1320, Usa,"University of Tennessee Martin, Martin","Tennessee, Usa",₹16L/Yr,,,
1321, Usa,"Northwest Missouri State University, Maryville","Missouri, Usa",₹16L/Yr,,,
1322, Usa,"University of Wisconsin - Stout, Menomonie","Wisconsin, Usa",₹8L/Yr,,,
1323, Usa,"Miami Dade College, Miami","Florida, Usa",₹10L/Yr,,,
1324, Usa,"Atlantis University, Miami","Florida, Usa",₹28L/Yr,,,
1325, Usa,"Midway University, Midway","Kentucky, Usa",₹20L/Yr,,,
1326, Usa,"Walden University, Minneapolis","Minnesota, Usa",₹34L/Yr,,,
1327, Usa,"Augsburg University, Minneapolis","Minnesota, Usa",₹14L/Yr,,,
1328, Usa,"Minot State University, Minot","North Dakota, Usa",₹25L/Yr,,,
1329, Usa,"Pfeiffer University, Misenheimer","North Carolina, Usa",₹26L/Yr,,,
1330, Usa,"Western Oregon University, Monmouth","Oregon, Usa",₹54L/Yr,,,
1331, Usa,"Middlebury Institute of International Studies at Monterey, Monterey","California, Usa",₹23L/Yr,,,
1332, Usa,"Auburn University at Montgomery, Montgomery","Alabama, Usa",₹25L/Yr,,,
1333, Usa,"Minnesota State University Moorhead, Moorhead","Minnesota, Usa",₹17L/Yr,,,
1334, Usa,"Morehead State University, Morehead","Kentucky, Usa",₹15L/Yr,,,
1335, Usa,"Clayton State University, Morrow","Georgia, Usa",₹30L/Yr,,,
1336, Usa,"Stephen F. Austin State University, Nacogdoches","Texas, Usa",₹21L/Yr,,,
1337, Usa,"Keller Graduate School of Management, Chicago","Illinois, Usa",₹10L/Yr,,,
1338, Usa,"Central Connecticut State University, New Britain","Connecticut, Usa",₹25L/Yr,,,
1339, Usa,"Muskingum University, New Concord","Ohio, Usa",₹26L/Yr,,,
1340, Usa,"Southern University at New Orleans, New Orleans","Louisiana, Usa",₹24L/Yr,,,
1341, Usa,"LIM College, New York City","New York, Usa",₹28L/Yr,,,
1342, Usa,"Teachers College at Columbia University, New York City","New York, Usa",₹20L/Yr,,,
1343, Usa,"School of Visual Arts, New York City","New York, Usa",₹36L/Yr,,,
1344, Usa,"Salve Regina University, Newport","Rhode Island, Usa",₹19L/Yr,,,
1345, Usa,"Lasell University, Newton","Massachusetts, Usa",₹21L/Yr,,,
1346, Usa,"Norfolk State University, Norfolk","Virginia, Usa",₹22L/Yr,,,
1347, Usa,"Kent State University Stark, North Canton","Ohio, Usa",₹24L/Yr,,,
1348, Usa,"Manchester University, North Manchester","Indiana, Usa",₹48L/Yr,,,
1349, Usa,"California College of the Arts, Oakland","California, Usa",₹29L/Yr,,,
1350, Usa,"Holy Names University, Oakland","California, Usa",₹22L/Yr,,,
1351, Usa,"University of Texas Permian Basin, Odessa","Texas, Usa",₹35L/Yr,,,
1352, Usa,"New York Institute of Technology, New York City","New York, Usa",₹13L/Yr,,,
1353, Usa,"Claflin University, Orangeburg","South Carolina, Usa",₹17L/Yr,,,
1354, Usa,"South Carolina State University, Orangeburg","South Carolina, Usa",₹15L/Yr,,,
1355, Usa,"State University of New York at Oswego, Oswego","New York, Usa",₹12L/Yr,,,
1356, Usa,"Park University, Parkville","Missouri, Usa",₹42L/Yr,,,
1357, Usa,"ArtCenter College of Design, Pasadena","California, Usa",₹8L/Yr,,,
1358, Usa,"University of North Carolina, Pembroke","North Carolina, Usa",₹20L/Yr,,,
1359, Usa,"Virginia State University, Petersburg","Virginia, Usa",₹40L/Yr,,,
1360, Usa,"University of Sciences in Philadelphia, Philadelphia","Pennsylvania, Usa",₹5L/Yr,,,
1361, Usa,"Curtis Institute of Music, Philadelphia","Pennsylvania, Usa",₹32L/Yr,,,
1362, Usa,"Stevenson University, Owings Mills","Maryland, Usa",₹17L/Yr,,,
1363, Usa,"Pittsburg State University, Pittsburg","Kansas, Usa",₹29L/Yr,,,
1364, Usa,"Joseph M. Katz Graduate School of Business, University of Pittsburgh, Pittsburgh","Pennsylvania, Usa",₹27L/Yr,,,
1365, Usa,"La Roche University, Pittsburgh","Pennsylvania, Usa",₹16L/Yr,,,
1366, Usa,"University of Wisconsin, Platteville","Wisconsin, Usa",₹8L/Yr,,,
1367, Usa,"State University of New York Plattsburgh, Plattsburgh","New York, Usa",₹20L/Yr,,,
1368, Usa,"Plymouth State University, Plymouth","New Hampshire, Usa",₹9L/Yr,,,
1369, Usa,"Eastern New Mexico University, Portales","New Mexico, Usa",₹21L/Yr,,,
1370, Usa,"University of Southern Maine, Portland","Maine, Usa",₹15L/Yr,,,
1371, Usa,"Shawnee State University, Portsmouth","Ohio, Usa",₹14L/Yr,,,
1372, Usa,"State University of New York Potsdam, Potsdam","New York, Usa",₹33L/Yr,,,
1373, Usa,"Johnson & Wales University, Providence","Rhode Island, Usa",₹15L/Yr,,,
1374, Usa,"York College, Jamaica","New York, Usa",₹21L/Yr,,,
1375, Usa,"Eastern Nazarene College, Quincy","Massachusetts, Usa",₹31L/Yr,,,
1376, Usa,"Marymount California University, Rancho Palos Verdes","California, Usa",₹19L/Yr,,,
1377, Usa,"National American University, Rapid City","South Dakota, Usa",₹33L/Yr,,,
1378, Usa,"DigiPen Institute of Technology, Redmond","Washington, Usa",₹11L/Yr,,,
1379, Usa,"University of Potomac, Washington","District Of Columbia, Usa",₹30L/Yr,,,
1380, Usa,"Illinois Dominican University, River Forest","Illinois, Usa",₹27L/Yr,,,
1381, Usa,"La Sierra University, Riverside","California, Usa",₹32L/Yr,,,
1382, Usa,"California Baptist University, Riverside","California, Usa",₹25L/Yr,,,
1383, Usa,"Winthrop University, Rock Hill","South Carolina, Usa",₹29L/Yr,,,
1384, Usa,"Lewis University, Romeoville","Illinois, Usa",₹11L/Yr,,,
1385, Usa,"Arkansas Tech University, Russellville","Arkansas, Usa",₹15L/Yr,,,
1386, Usa,"Lindenwood University, Saint Charles","Missouri, Usa",₹9L/Yr,,,
1387, Usa,"Dixie State University, Saint George","Utah, Usa",₹14L/Yr,,,
1388, Usa,"Missouri Western State University, Saint Joseph","Missouri, Usa",₹20L/Yr,,,
1389, Usa,"Concordia University - Saint Paul, Saint Paul","Minnesota, Usa",₹29L/Yr,,,
1390, Usa,"Metropolitan State University, Saint Paul","Minnesota, Usa",₹40L/Yr,,,
1391, Usa,"University of St. Thomas, Houston","Texas, Usa",₹13L/Yr,,,
1392, Usa,"Salem State University, Salem","Massachusetts, Usa",₹21L/Yr,,,
1393, Usa,"American National University, Salem","Virginia, Usa",₹22L/Yr,,,
1394, Usa,"Salem University, Salem","West Virginia, Usa",₹11L/Yr,,,
1395, Usa,"United States University, San Diego","California, Usa",₹34L/Yr,,,
1396, Usa,"NewSchool of Architecture and Design, San Diego","California, Usa",₹25L/Yr,,,
1397, Usa,"California Miramar University, San Diego","California, Usa",₹27L/Yr,,,
1398, Usa,"University of California Hastings College of Law, San Francisco","California, Usa",₹32L/Yr,,,
1399, Usa,"Academy of Art University, San Francisco","California, Usa",₹32L/Yr,,,
1400, Usa,"California Institute of Integral Studies, San Francisco","California, Usa",₹15L/Yr,,,
1401, Usa,"International Technological University, San Jose","California, Usa",₹14L/Yr,,,
1402, Usa,"California State University, San Marcos","California, Usa",₹8L/Yr,,,
1403, Usa,"Santa Monica College, Santa Monica","California, Usa",₹14L/Yr,,,
1404, Usa,"University of South Florida - Sarasota-Manatee, Sarasota","Florida, Usa",₹14L/Yr,,,
1405, Usa,"Lake Superior State University, Sault Ste Marie","Michigan, Usa",₹15L/Yr,,,
1406, Usa,"Savannah State University, Savannah","Georgia, Usa",₹29L/Yr,,,
1407, Usa,"Marywood University, Scranton","Pennsylvania, Usa",₹19L/Yr,,,
1408, Usa,"California State University - Monterey Bay, Seaside","California, Usa",₹20L/Yr,,,
1409, Usa,"City University of Seattle, Seattle","Washington, Usa",₹15L/Yr,,,
1410, Usa,"Shepherd University, Shepherdstown","West Virginia, Usa",₹18L/Yr,,,
1411, Usa,"Shippensburg University of Pennsylvania, Shippensburg","Pennsylvania, Usa",₹18L/Yr,,,
1412, Usa,"Louisiana State University Shreveport, Shreveport","Louisiana, Usa",₹18L/Yr,,,
1413, Usa,"Indiana University South Bend, South Bend","Indiana, Usa",₹23L/Yr,,,
1414, Usa,"University of South Carolina - Upstate, Spartanburg","South Carolina, Usa",₹10L/Yr,,,
1415, Usa,"Black Hills State University, Spearfish","South Dakota, Usa",₹15L/Yr,,,
1416, Usa,"University of Illinois, Springfield","Illinois, Usa",₹26L/Yr,,,
1417, Usa,"Drury University, Springfield","Missouri, Usa",₹28L/Yr,,,
1418, Usa,"Eastern University, St. Davids","Pennsylvania, Usa",₹18L/Yr,,,
1419, Usa,"North American University, Stafford","Texas, Usa",₹14L/Yr,,,
1420, Usa,"University of Wisconsin, Stevens Point","Wisconsin, Usa",₹25L/Yr,,,
1421, Usa,"Aquinas College, Grand Rapids","Michigan, Usa",₹31L/Yr,,,
1422, Usa,"University of Washington, Tacoma","Washington, Usa",₹44L/Yr,,,
1423, Usa,"Northeastern State University, Tahlequah","Oklahoma, Usa",₹20L/Yr,,,
1424, Usa,"University of Advancing Technology, Tempe","Arizona, Usa",₹24L/Yr,,,
1425, Usa,"Nicholls State University, Thibodaux","Louisiana, Usa",₹28L/Yr,,,
1426, Usa,"Heidelberg University, Tiffin","Ohio, Usa",₹25L/Yr,,,
1427, Usa,"Tiffin University, Tiffin","Ohio, Usa",₹18L/Yr,,,
1428, Usa,"Washburn University, Topeka","Kansas, Usa",₹17L/Yr,,,
1429, Usa,"Troy University, Troy","Alabama, Usa",₹12L/Yr,,,
1430, Usa,"University of Tennessee Space Institute, Tullahoma","Tennessee, Usa",₹18L/Yr,,,
1431, Usa,"Tuskegee University, Tuskegee","Alabama, Usa",₹18L/Yr,,,
1432, Usa,"Saginaw Valley State University, University Center","Michigan, Usa",₹23L/Yr,,,
1433, Usa,"Utica College, Utica","New York, Usa",₹14L/Yr,,,
1434, Usa,"University of Houston, Victoria","Texas, Usa",₹17L/Yr,,,
1435, Usa,"IGlobal University, Vienna","Virginia, Usa",₹49L/Yr,,,
1436, Usa,"ECPI University, Richmond","Virginia, Usa",₹14L/Yr,,,
1437, Usa,"University of Central Missouri, Warrensburg","Missouri, Usa",₹49L/Yr,,,
1438, Usa,"Kogod School of Business, Washington","District Of Columbia, Usa",₹15L/Yr,,,
1439, Usa,"University of the District of Columbia, Washington","District Of Columbia, Usa",₹19L/Yr,,,
1440, Usa,"National Defense University, Washington","District Of Columbia, Usa",₹13L/Yr,,,
1441, Usa,"William Paterson University of New Jersey, Wayne","New Jersey, Usa",₹13L/Yr,,,
1442, Usa,"Wayne State College, Wayne","Nebraska, Usa",₹35L/Yr,,,
1443, Usa,"Southwestern Oklahoma State University, Weatherford","Oklahoma, Usa",₹37L/Yr,,,
1444, Usa,"University of New Haven, West Haven","Connecticut, Usa",₹16L/Yr,,,
1445, Usa,"Monmouth University, West Long Branch","New Jersey, Usa",₹17L/Yr,,,
1446, Usa,"Westfield State University, Westfield","Massachusetts, Usa",₹19L/Yr,,,
1447, Usa,"Midwestern State University, Wichita Falls","Texas, Usa",₹15L/Yr,,,
1448, Usa,"Pennsylvania College of Technology, Williamsport","Pennsylvania, Usa",₹21L/Yr,,,
1449, Usa,"Goldey-Beacom College, Wilmington","Delaware, Usa",₹13L/Yr,,,
1450, Usa,"Widener University-Delaware Law School, Wilmington","Delaware, Usa",₹61L/Yr,,,
1451, Usa,"Winona State University, Winona","Minnesota, Usa",₹28L/Yr,,,
1452, Usa,"Full Sail University, Winter Park","Florida, Usa",₹10L/Yr,,,
1453, Usa,"Becker College, Worcester","Massachusetts, Usa",₹18L/Yr,,,
1454, Usa,"Worcester State University, Worcester","Massachusetts, Usa",₹11L/Yr,,,
1455, Usa,"York College of Pennsylvania, York","Nebraska, Usa",₹59K/Yr,,,
1456, Usa,"Youngstown State University, Youngstown","Ohio, Usa",₹26L/Yr,,,
1457, Germany,"Osnabruck University, Osnabruck","Lower Saxony, Germany",₹65K/Yr,,,
1458, Germany,"Bauhaus University, Weimar","Thuringia, Germany",₹4L/Yr,,,
1459, Germany,"Berlin University of the Arts, Berlin","Berlin, Germany",₹9L/Yr,,,
1460, Malaysia,"University of Nottingham Malaysia, semenyih","Selangor, Malaysia",₹10L/Yr,,,
1461, Sweden,"Malardalen University, Vasteras","Vastmanland, Sweden",₹5L/Yr,,,
1462, Sweden,"University of Gavle, Gavle","Gavleborg, Sweden",₹15L/Yr,,,
1463, Sweden,"University of Skovde, Skovde","Vastergotland, Sweden",₹10L/Yr,,,
1464, Netherlands,"Maastricht School of Management, Maastricht","Limburg, Netherlands",₹6L/Yr,,,
1465, Netherlands,"Breda University of Applied Sciences, Breda","North Brabant, Netherlands",₹21L/Yr,,,
1466, Netherlands,"Royal Academy of Art, The Hague, The Hague","South Holland, Netherlands",₹18L/Yr,,,
1467, Uk,"Royal Central School of Speech & Drama, London","England, Uk",₹26L/Yr,,,
1468, Uk,"Falmouth College of Arts, Falmouth","England, Uk",₹17L/Yr,,,
1469, Uk,"Glasgow School of Art, Glasgow","Scotland, Uk",₹27L/Yr,,,
1470, Uk,"Ravensbourne University London, London","England, Uk",₹37L/Yr,,,
1471, Uk,"Royal Academy of Music, London","England, Uk",₹28L/Yr,,,
1472, Uk,"Royal College of Art, London","England, Uk",₹67L/Yr,,,
1473, Uk,"Royal College of Music, London","England, Uk",₹10L/Yr,,,
1474, Usa,"Harvard Law School, Cambridge","Massachusetts, Usa",₹25L/Yr,,,
1475, Sweden,"Sodertorn University, Stockholm","Uppland, Sweden",₹25L/Yr,,,
1476, Germany,"Frankfurt School of Finance & Management, Frankfurt am Main","Hesse, Germany",₹13L/Yr,,,
1477, Netherlands,"United International Business Schools, Amsterdam","North Holland, Netherlands",₹24L/Yr,,,
1478, Germany,"International School of Management, Dortmund","North Rhine-Westphalia, Germany",₹36L/Yr,,,
1479, Germany,"Munich Business School, Munich","Bavaria, Germany",₹17L/Yr,,,
1480, Germany,"ESMT Berlin, Berlin","Berlin, Germany",₹17L/Yr,,,
1481, Uk,"GCU London, London","England, Uk",₹11L/Yr,,,
1482, Uk,"Glasgow School for Business and Society, Glasgow","Scotland, Uk",₹18L/Yr,,,
1483, Uk,"College of Health and Social Care, University of Derby, Derby","England, Uk",₹26L/Yr,,,
1484, Uk,"Henley Business School, Henley-on-Thames","England, Uk",₹23L/Yr,,,
1485, Uk,"INTO University of Exeter, Exeter","England, Uk",₹30L/Yr,,,
1486, Uk,"Lancaster University - Management School, Lancaster","England, Uk",₹27L/Yr,,,
1487, Uk,"Loughborough University London, London","England, Uk",₹16L/Yr,,,
1488, Uk,"Newcastle University Business School, Newcastle upon Tyne","England, Uk",₹21L/Yr,,,
1489, Uk,"University of Derby Arts, Humanities and Education College, Derby","England, Uk",₹49L/Yr,,,
1490, Uk,"University of London, London","England, Uk",₹41L/Yr,,,
1491, Usa,"College of Engineering, Carnegie Mellon University, Pittsburgh","Pennsylvania, Usa",₹35L/Yr,,,
1492, Usa,"College of Fine Arts, Carnegie Mellon University, Pittsburgh","Pennsylvania, Usa",₹11L/Yr,,,
1493, Australia,"Blue Mountains International Hotel Management School, Sydney","New South Wales, Australia",₹8L/Yr,,,
1494, Canada,"Redekop School of Business, Winnipeg","Manitoba, Canada",₹8L/Yr,,,
1495, Canada,"University of Moncton, Shippagan Campus, Moncton","Newbrunswick, Canada",₹13L/Yr,,,
1496, Canada,"University of Moncton, Edmundston Campus, Moncton","Newbrunswick, Canada",₹7L/Yr,,,
1497, Australia,"Engineering Institute of Technology, Perth","Western Australia, Australia",₹12L/Yr,,,
1498, Australia,"James Cook University (Brisbane Campus), Brisbane","Queensland, Australia",₹22L/Yr,,,
1499, Australia,"Kaplan Business School, Adelaide","South Australia, Australia",₹27L/Yr,,,
1500, Australia,"S P Jain School of Global Management, Sydney","New South Wales, Australia",₹29L/Yr,,,
1501, Australia,"Torrens University Australia, Adelaide","South Australia, Australia",₹2L/Yr,,,
1502, Germany,"FH Aachen - University of Applied Sciences, Aachen","North Rhine-Westphalia, Germany",₹11K/Yr,,,
1503, Germany,"Aalen University, Aalen","Baden-Wurttemberg, Germany",₹4L/Yr,,,
1504, Germany,"Ansbach University of Applied Sciences, Ansbach","Bavaria, Germany",₹6L/Yr,,,
1505, Germany,"IU, International University of Applied Sciences, Bad Honnef","North Rhine-Westphalia, Germany",₹6L/Yr,,,
1506, Germany,"BBW University of Applied Sciences, Berlin","Berlin, Germany",₹8L/Yr,,,
1507, Germany,"Berlin School of Business and Innovation, Berlin","Berlin, Germany",₹11L/Yr,,,
1508, Germany,"Beuth University of Applied Sciences, Berlin","Berlin, Germany",₹12L/Yr,,,
1509, Germany,"CODE University of Applied Sciences, Berlin","Berlin, Germany",₹1L/Yr,,,
1510, Germany,"GISMA Business School, Hannover","Lower Saxony, Germany",₹10L/Yr,,,
1511, Germany,"HTW Berlin-University of Applied Sciences, Berlin","Berlin, Germany",₹11L/Yr,,,
1512, Germany,"Macromedia University of Applied Sciences, Munich","Bavaria, Germany",₹44K/Yr,,,
1513, Germany,"SRH Hochschule Berlin, Berlin","Berlin, Germany",₹16K/Yr,,,
1514, Germany,"Anhalt University of Applied Sciences, Bernburg","Saxony, Germany",₹1L/Yr,,,
1515, Germany,"Biberach University of Applied Science, Biberach an der Riss","Baden-Wurttemberg, Germany",₹1L/Yr,,,
1516, Germany,"Coburg University of Applied Sciences and Arts, Coburg","Bavaria, Germany",₹89K/Yr,,,
1517, Germany,"Darmstadt University of Applied Sciences, Darmstadt","Hesse, Germany",₹6L/Yr,,,
1518, Germany,"Deggendorf Institute of Technology, Deggendorf","Bavaria, Germany",₹2L/Yr,,,
1519, Germany,"Dresden International University, Dresden","Saxony, Germany",₹7L/Yr,,,
1520, Germany,"University of Erfurt, Erfurt","Thuringia, Germany",₹2L/Yr,,,
1521, Germany,"FOM University of Applied Sciences, Essen","North Rhine-Westphalia, Germany",₹45K/Yr,,,
1522, Germany,"Esslingen University of Applied Sciences, Esslingen am Neckar","Baden-Wurttemberg, Germany",₹53K/Yr,,,
1523, Germany,"Flensburg University of Applied Sciences, Flensburg","Schleswig-Holstein, Germany",₹11L/Yr,,,
1524, Germany,"Fulda University of Applied Sciences, Fulda","Hesse, Germany",₹57K/Yr,,,
1525, Germany,"Furtwangen University, Furtwangen im Schwarzwald","Baden-Wurttemberg, Germany",₹70K/Yr,,,
1526, Germany,"HafenCity University Hamburg, Hamburg","Hamburg, Germany",₹12L/Yr,,,
1527, Germany,"Hamburg University of Applied Sciences, Hamburg","Hamburg, Germany",₹13L/Yr,,,
1528, Germany,"Kuehne Logistics University, Hamburg","Hamburg, Germany",₹40L/Yr,,,
1529, Germany,"West Coast University of Applied Sciences, Heide","Schleswig-Holstein, Germany",₹5L/Yr,,,
1530, Germany,"Heilbronn University, Heilbronn","Baden-Wurttemberg, Germany",₹2L/Yr,,,
1531, Germany,"Hof University of Applied Sciences, Hof","Bavaria, Germany",₹1L/Yr,,,
1532, Germany,"Karlsruhe University of Applied Sciences, Karlsruhe","Baden-Wurttemberg, Germany",₹49L/Yr,,,
1533, Germany,"Kempten University of Applied Sciences, Kempten im Allgau","Bavaria, Germany",₹57K/Yr,,,
1534, Germany,"Kiel University of Applied Sciences, Kiel","Schleswig-Holstein, Germany",₹8L/Yr,,,
1535, Germany,"Rhein-Waal University of Applied Sciences, Kleve","North Rhine-Westphalia, Germany",₹2L/Yr,,,
1536, Germany,"Cologne Business School, Cologne","North Rhine-Westphalia, Germany",₹62K/Yr,,,
1537, Germany,"Konstanz University of Applied Sciences, Konstanz","Baden-Wurttemberg, Germany",₹29K/Yr,,,
1538, Germany,"Landshut University of Applied Sciences, Landshut","Bavaria, Germany",₹53K/Yr,,,
1539, Germany,"Leipzig University of Applied Sciences, Leipzig","Saxony, Germany",₹58K/Yr,,,
1540, Germany,"Ostwestfalen - Lippe University of Applied Sciences, Lemgo","North Rhine-Westphalia, Germany",₹9L/Yr,,,
