College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
"Alard Institute of Management Sciences, Pune","Pune,  Maharashtra",AICTE,Estd 2005,Private,6.7,"National Institute of Pharmaceutical Education and Research Hyderabad is a public institution established in the year 2007. The institute offers Masters and Ph.D. programs in Pharmaceutical education. The courses offered by NIPER Hyderabad are M.S., M.Tech., MBA, and Ph.D. In 2019, NIPER Hyderabad has been ranked 6th rank in pharmacy category by NIRF out of all the Pharmacy Institutions from all over India."
"NIPER Hyderabad, Telangana","Hyderabad,  Telangana",PCI,Estd 2007,Public (Autonomous),8.4,
"Sharda University, School of Business Studies - [SBS], Greater Noida","Greater Noida,  Uttar Pradesh",NBA,Estd 2009,Private,8.8,"Shaheed Rajguru College of Applied Sciences for Women (SRCASW) was established in 1989 and is affiliated with University of Delhi. It is funded by Govt. of NCT of Delhi, accredited by NAAC with “A” grade and approved by UGC. According to NIRF 2023 Ranking, the college has been ranked in the 32nd position. The institute is fully funded by the Government of NCT of Delhi. SRCASW offers a total of 14 UG Courses. Admission to these UG courses at Shaheed Rajguru College will be done based on CUET UG 2024 Scores. Apart from these courses, SRCASW New Delhi also offers foreign language courses. "
SRCASW New Delhi,"New Delhi,  Delhi NCR",UGC,Estd 1989,Public,7.8,"Gujarat University is recognized by the UGC and accredited with a ‘B++’ grade by NAAC. Gujarat University has been ranked 61st among the Top Universities in India by NIRF 2023. It is one of the oldest and largest universities in India with more than 3 lakh students. Gujarat University is an affiliating University at the undergraduate level and a teaching university at the postgraduate level. It has 235 colleges, 15 recognised institutions, and 24 approved institutions under its umbrella. Check Gujarat University Affiliated Colleges"
Gujarat University,"Ahmedabad,  Gujarat",UGC,Estd 1949,State University,7.6,
"Banarsidas Chandiwala Institute of Hotel Management & Catering Technology, New Delhi","New Delhi,  Delhi NCR",,Estd 1999,Private,8.4,"Dr. Ambedkar Institute of Hotel Management, Catering and Nutrition (IHM) was established in the year 1990. It is located in Chandigarh. It is among the 21 Central IHM’s setup by the Ministry of Tourism, Government of India. It is a renowned institute known for imparting hospitality education to students to train them for the hospitality industry."
IHM Chandigarh,"Chandigarh,  Chandigarh",NCHMCT,Estd 1990,Government,8.3,"Institute Of Hotel Management Catering Technology and Applied Nutrition, Goa is an autonomous institute established in 1984. Affiliated to National Council for Hotel Management and Catering Technology, Noida (NCHMCT), the Institute offers various undergraduate, diploma and certificate courses across various specializations. The institute imparts education to the students in the hospitality industry. Admissions to B.Sc courses are entrance based(NCHM-JEE) whereas admissions to Craftsmanship courses are merit based."
"Institute Of Hotel Management Catering Technology and Applied Nutrition - [IHM], North Goa, Goa","North Goa,  Goa",NCHMCT,Estd 1968,Public (Autonomous),8.2,"Savitribai Phule Pune University (SPPU), also known as UniPune, is one of the premier universities in India. It is approved by the UGC and accredited by NAAC with an ‘A’ grade. The university is popularly known as the 'Oxford of the East'. UniPune has been ranked 19th among top universities in India by NIRF 2023. It has over 700 affiliated colleges, 46 academic departments, and 52 research centres. Check UniPune Affiliated Colleges"
UNIPUNE (SPPU),"Pune,  Maharashtra",UGC,Estd 1949,State University,7.6,
ICBM School Of Business Excellence Hyderabad Admission 2024,"Hyderabad,  Telangana",AICTE,Estd 2006,Private,7.9,
VMMC,"New Delhi,  Delhi NCR",MCI,Estd 2001,Public Institute,8.7,Acharya Narendra Dev College is a government-funded college and is a constituent college of Delhi University. ANDC New Delhi is recognized by UGC and is accredited by the NAAC with a grade ‘A’. The college was established in the year 1991 and has been ranked at 21 by NIRF Ranking 2023.
"Acharya Narendra Dev College, Delhi","New Delhi,  Delhi NCR",AICTE,Estd 1991,Public,7.8,"Alkesh Dinesh Mody Institute For Financial And Management Studies aka ADMIFMS was Established in 1994. ADMIFMS provides BMS, MMS, M.Sc in Finance and a PhD Program. ADMIFMS is known for its amazing ROI, Placements and Faculty."
Alkesh Dinesh Mody Institute For Financial And Management Studies,"Mumbai,  Maharashtra",AICTE,Estd 1994,Private,7.6,"National Institute of Fashion Technology (NIFT) Patna is a government institute, located in Patna, Bihar. The institute was established in the year 2008 under the Ministry of Textiles of the Government of India. NIFT Patna offers UG & PG courses in the field of fashion, designing, technology, and management. Additionally, the institute offers a one-year certificate course in Continuing Education (CE) Programme in Fashion and Clothing Technology. NIFT Patna Admissions to all courses are done based on the NIFT entrance examination followed by a personal interview."
NIFT Patna,"Patna,  Bihar",,Estd 2008,Public Institute,8.6,"National Institute of Fashion Technology, Gandhinagar a premier academic institute of design, located in one of the safest, cleanest, and most progressive city in Gandhinagar, Gujarat. It has been an ongoing effort in NIFT Gandhinagar Campus to showcase the knowledge and imparts an augment understanding of the legacy and technical skills of the fashion industry."
NIFT Gandhinagar,"Gandhinagar,  Gujarat",,Estd 2004,Public Institute,8.5,"National Institute of Fashion Technology is located in Kolkata and is a government college that was established in 1995 to introduce students to various options of employment in the field of fashion. NIFT Kolkata is one of the five oldest Centres among the NIFT fraternity. With a symbiotic balance between the state government and the garment industries, NIFT Kolkata stands as a pioneer of fashion training and research. "
NIFT Kolkata,"Kolkata,  West Bengal",AICTE,Estd 1986,Public,7.5,"Pearl Academy is a private academy established in 1993. Pearl Academy has been ranked 2nd among the top 10 fashion colleges in India by India Today Rankings. It offers education in the fields of design, fashion, business, media, and retail industries. The fashion institute also has been ranked among the top 25 Fashion Colleges in the world. Admissions to the courses are based on the entrance exam conducted at the institute’s level. The academy has international alliances with institutes like Media Design School, New Mexico; AMFI, Netherlands; Domus Academy, Milan; Torrens University, Australia; The Textile Institute, Manchester, among many others. "
Pearl Academy Delhi,"New Delhi,  Delhi NCR",,Estd 1993,Private Institute,7.3,"Department of Business Administration Tezpur University was founded in the year 1995. It works with a vision “to be a coveted knowledge hub of management education for creating socially responsible global citizens”. The institute is affiliated with Tezpur University and approved by All India Council for Technical Education (AICTE). It has been ranked 98th by Business Today (BT) 2023 under Top B-Schools category. It offers MBA, Diploma and Ph.D. programs for its students. Admission to the MBA program is based on national level entrance exams such as CAT, MAT. While for Ph.D., Tezpur University conducts its own exam. "
"Department of Business Administration, Tezpur University, Tezpur","Tezpur,  Assam",AICTE,Estd 1995,Central University,9.3,"Women’s Christian College (WCC) is an autonomous institution, established in the year 1915. The college has been accredited with ‘A’ grade by NAAC and is affiliated to University of Madras. WCC offers undergraduate, postgraduate and research courses in the field of Arts, Commerce and Science. The women’s college has a strength of more than 4252 students."
"Women's Christian College (WCC), Chennai","Chennai,  Tamil Nadu",,Estd 1915,Private (Autonomous),7.8,"Jammu University is a UGC-approved state university situated in Jammu. Established in 1969, Jammu University is accredited by NAAC with an 'A+' grade. Moreover, NIRF has ranked Jammu University at #63 among the universities in 2023. Moreover, NAAC"
Jammu University,"Jammu,  Jammu and Kashmir",UGC,Estd 1969,Autonomous University,6.9,"International Institute of Health Management Research (IIHMR Delhi), New Delhi was established in the year 2008 as a part of the Society of Indian Institute of Health Management Research, Jaipur. IIHMR is ranked 58th among India’s Best B-School by Times of India 2021, 18th among India’s Best B-School in Delhi NCR by The Week magazine 2021 and 12th among India’s Best B-School in Delhi NCR by Outlook Magazine 2021. The institute offers a flagship program in PGDM. The institute has also introduced the Fellowship program in Management (FPM), Executive PGDM, MDP’s, and Supply Chain Management (SCM) certificate course. Apart from this IIHMR has also developed customized executive and short courses for working professionals."
IIHMR Delhi,"New Delhi,  Delhi NCR","AICTE, NBA, AIU",Estd 2008,Private,8.2,
"Jaipuria Institute of Management, Indore","Indore,  Madhya Pradesh","AICTE, NBA, AIU",Estd 2010,Private,8.4,"Dayananda Sagar Business School is positioned as one of the best 50 B-Schools in the nation and gaining high reputation in the market. The PGDM program provided by the college is renowned as equal to MBA degree from Association of Indian Universities. The program provided is independent and is meant to be a flagship and exciting program of the organization. Dayananda Sagar Business School is not just about providing persons to raise their opportunities, it provides people a possibility to be a best part of the coming future by investing in, growing and keeping safe the affluence of the region for the subsequent generation."
"Dayananda Sagar Business School - [DSBS], Bangalore","Bangalore,  Karnataka",AICTE,Estd 2007,Private,8.5,"Government Arts College (Autonomous), one of the best government institutions in Tamil Nadu, ranks 44th in the college category of NIRF ranking 2023. The institute offers a plethora of UG, PG and Ph.D. courses in different fields of Arts, Commerce, and Science. Admission to the majority of these courses is done on the basis of merit. Selection is based on the marks obtained by the candidates in the last institution attended. Reservations for SC/ ST/ OBC categories are given as per the norms of the State and Central Government."
Government Arts College Coimbatore,"Coimbatore,  Tamil Nadu",,Estd 1852,Government,7.9,
"I Business Institute, Greater Noida","Greater Noida,  Uttar Pradesh","AICTE, MHRD",Estd 2008,Private,9.0,"Pondicherry University is a central university, located in Pondicherry. Established in 1985, Pondicherry university is recognized by the UGC and accredited by the NAAC with an ‘A’ grade. The university has secured #801-1000 rank in World University category by QS World Ranking 2023.
 "
Pondicherry University,"Pondicherry,  Puducherry","NCTE, AICTE",Estd 1985,Central University,7.2,"Dr. R. Ahmed Dental College and Hospital, West Bengal is a premier Government dental college located in Kolkata, in the state of West Bengal. Established in the year 1920, it is one of the oldest dental colleges in South-east Asia. This esteemed college came into existence due to the efforts of the pioneer dentist and legendary visionary Dr R. Ahmed. It provides Bachelor of Dental Surgery (BDS) and Master of Dental Surgery (MDS) courses in different specialties. This institute has churned out many stalwarts in the field of dental sciences and oral surgery over the last few decades. Notable among them was Fatima Jinnah, sister of the founding father of Pakistan Muhammad Ali Jinnah, who graduated from here."
"Dr. R. Ahmed Dental College and Hospital, Kolkata","Kolkata,  West Bengal",DCI,Estd 1920,Private,8.2,
SDM College of Dental Sciences and Hospital - [SDMCDSH] Sattur,"Dharwad,  Karnataka",DCI,Estd 1986,Private,8.3,"Manipal College of Pharmaceutical Sciences is a premier institution of Manipal Academy of Higher Education. The college began by offering D.Pharm in 1963. MCOPS was the first college in Karnataka to offer M.Pharm in 1970. Manipal College of Pharmaceutical Sciences is approved by AICTE and PCI. It is accredited by the NBA. MCOPS admission can be done online on the official website of the college. The college offers B.Pharm, PharmD, D.Pharm and M.Pharm programs. It also offers lateral entry programs in B.Pharm program. It is one of the leading Pharmaceutical institute in Karnataka. Manipal College of Pharmaceutical Sciences aims to upgrade the infrastructure and facilities required for new courses and programs. The institute has nearly 2500+ faculty and almost 10000 other support and service staff, who cater to the various professional institutions in health sciences, engineering, management, communication, and humanities. Various scholarships are provided by Manipal College of Pharmaceutical Sciences. The scholarships include merit-cum-means scholarships and freeships. Students whose mother tongue is Konkani are offered scholarships by the college. Educational loans can be availed through various financial institutions like State Bank of India and Vidya Lakshmi Portal."
"Manipal College of Pharmaceutical Sciences - [MCOPS], Manipal","Manipal,  Karnataka","AICTE, PCI",Estd 1963,Private,8.5,"Dr. D.Y. Patil Vidyapeeth is providing the students with the best of facilities and excellent education. The University is excellent because the students passing out have been placed very well. The Vidyapeeth comprises of Padmashree Dr. D. Y. Patil Medical College, Hospital and Research Centre, Pimpri, Pune."
DY Patil Pune,"Pune,  Maharashtra","UGC, MHRD, AIU",Estd 2003,Deemed to be University,7.6,"Govt. Dental College & Hospital (GDCH), Nagpur is a renowned dental college established in the year 1968. The college is approved by DCI and affiliated to the Maharashtra University of Health Sciences. The college offers BDS and MDS programs under the guidance of experienced faculties. Admission to the BDS and MDS courses is done on the basis of NEET-UG and NEET-MDS scores respectively. The college has a top-class infrastructure and all the necessary facilities for a good learning atmosphere."
"Govt. Dental College & Hospital - [GDCH], Nagpur","Nagpur,  Maharashtra",DCI,Estd 1968,Government,7.3,"RV Institute of Management (RVIM) Bangalore, started in the year 1999, has completed 19 years of its existence. It is one of the 27 leading educational institutes of national and international repute, guided by the Rashtreeya Sikshana Samithi Trust (RSST). RVIM is accredited by NAAC with ‘ A+’ grade and is affiliated to the Bengaluru Central University"
RV Institute of Management,"Bangalore,  Karnataka",AICTE,Estd 1999,Private Institute,8.0,
"Army Institute Of Hotel Management & Catering Technology - [AIHMCT], Bangalore","Bangalore,  Karnataka",AICTE,Estd 1996,Government,8.1,"Kristu Jayanti College (KJC) is awarded the Heroes of Bengaluru award for its contribution to the field of Education. The college offers UG and PG courses in the fields of Management, Commerce, Computer Science, Life Science, Journalism, Humanities, etc as well as PG diploma courses in the discipline of Management and Business Administration. Popular courses of the institute include MBA in 2 specialisations, BBA+MBA, B.Com+MBA and MSW courses. The institute also offers PGDM, PGD in Business Administration, MA, BA, BCA, M.Com, B.Com and BSc courses across various specialisations. For MBA admission in Kristu Jayanti College, candidates must obtain a valid score in CMAT/MAT/KMAT. Candidates looking for enrollment in MCA course, must appear in PGCET/KMAT and obtain valid scores. "
Kristu Jayanti College (KJC) Bangalore,"Bangalore,  Karnataka","AICTE, ACCA",Estd 1999,Private Institute (Autonomous),8.2,"Siksha ‘O’ Anusandhan University (SOA), formerly known as SOA University is a private Deemed-to-be University established in the year 2007 in Bhubaneshwar, Odisha. SOA University is UGC-approved and accredited by NAAC with an A++ grade. It is one of the 35 universities in India to be ranked internationally by QS. The university has topped the overall chart in the state and ranked 26 overall by NIRF India Rankings 2023. SOA University has been ranked at 26th position by NIRF 2023. The university is accredited by ABET, USA. SOA University offers UG, PG and doctoral courses in the disciplines of Engineering, Pharmacy, Management, Sciences etc. A total of 13 Programs offered at SOA University are accredited by NBA. "
SOA University,"Bhubaneswar,  Odisha","AICTE, MCI, ICAR, UGC, NBA",Estd 2007,Deemed to be University,8.5,"Institute of Health Management Research (IIHMR, Bangalore) is a premier Institute for Hospital and Health management education in South India. IIHMR Bangalore has a legacy of over a decade of imparting Health and Hospital management education, Training, and Research activities in South India. The institute was founded in the year 2004 as the south campus of IIHMR Group of Institutions offering a flagship program in Hospital and Health Management. The placement cell of IIHMR Bangalore organizes On-Campus/Off-campus interviews, Tele Interviews, etc. in a planned manner. The highest package was offered at INR 24 LPA. IIHMR Bangalore offers 4 specializations in PGDM in Hospital and Health Management program:"
IIHMR Bangalore,"Bangalore,  Karnataka","AICTE, NBA, AIU",Estd 2004,Private (Autonomous),7.6,Some of the important highlights of SRM University are mentioned below:
SRM University,"Chennai,  Tamil Nadu",UGC,Estd 1985,Deemed University,8.1,Thiagarajar College Madurai was established in 1947 with an aim to serve the society by providing affordable quality higher education to all. It is an autonomous government-aided institution which is affiliated to Madurai Kamaraj University. The college is accredited with ‘A’ grade by NAAC and has been ranked 18th  in NIRF 2023 Rankings among top colleges in India.
Thiagarajar College Madurai,"Madurai,  Tamil Nadu",,Estd 1949,Private (Autonomous),7.7,"Lloyd Business School (LBS), Greater Noida ranked 2nd in Greater Noida and 12th in North India by the Times B-school Survey 2021.  The flagship courses of LBS are their PGDM in 5 specializations and MBA in 6 specializations. Students can also specialize in 2 subjects in MBA. The PGDM in Business Analytics course is delivered in collaboration with IBM Certified Business Analytics Lab while the Supply Chain Management Specialization is offered in association with the Logistics Sector Skill Council of India (LSC). Apart from that Finance specialization is instigated in close association with NSE Academy and Human Resource Management specialization knitted in consultation with Manpower Group. The college also runs an Executive Program and a BBA course in 2 specializations. Total course fees for PGDM range from INR 5.50 Lakhs to INR 6.75 Lakhs whereas the MBA course fee is about INR 3 lakhs. Accepted entrance tests for MBA admission are L-MAT / ATMA / CAT/ MAT / GMAT. For PGDM admission, candidates need to qualify in CAT/ MAT / GMAT / XAT/CMAT"
Lloyd Business School,"Greater Noida,  Uttar Pradesh","AICTE, MHRD",Estd 2004,Private,7.8,
"Institute Of Management And Information Science - [IMIS], Bhubaneswar","Bhubaneswar,  Odisha",AICTE,Estd 1995,Private (Autonomous),8.2,"School of Management and Commerce, KR Mangalam University is one of the best B-Schools in Gurgaon. KR Mangalam University Gurgaon is a state-private university that was established under the Haryana Private Universities Act, 2006 and is empowered to award degrees under section 2f of the UGC Act, 1956. The university is approved by AICTE. SOMC KR Mangalam University has prime collaborations with IBM, NSE Academy, Safexpress, Imarticus Learning, GCEC Global Foundation, Samatrix, ACCA-UK and Grant Thornton for advanced academic support."
"KR Mangalam University, School of Management and Commerce","Gurgaon,  Haryana",,Estd 2013,Private,8.6,"Symbiosis Law School (SLS), Pune is a private college established in 1977, affiliated to Symbiosis International University and approved by UGC and Bar Council of India, ranked as the no. 1 private institution in India by IIRF. The college offers various undergraduate, postgraduate, diploma and research programs in the discipline of Law across multiple specializations."
SLS Pune,"Pune,  Maharashtra","BCI, UGC",Estd 1977,Private,8.4,
Delhi University (DU),"New Delhi,  Delhi NCR","AICTE, UGC",Estd 1922,Central University,7.8,"Govind Ballabh Pant University of Technology and Agriculture (GBPUAT), also known as Pantnagar University, was established in 1960 in Pantnagar, Uttarakhand. It currently offers 2 Undergraduate­, 8 Postgraduate and 7 Ph.D courses. The UG courses offered are B.Sc. and B.Tech, and the PG courses are M.Sc., M.tech., MVSc, MBA, MCA and M.Sc. Agri., as well as a Diploma in Hi-Tech Agriculture and 7 PhD courses. Admission to the courses usually begins by the end of March."
"GBPUAT, Pant Nagar","Pantnagar,  Uttarakhand","AICTE, ICAR, UGC",Estd 1960,State University,7.5,"International School of Business and Media (ISB&M), Kolkata is a private college established in 2004, approved by AICTE and UGC. The college is ranked as the top most B-school by various ranking survey platforms and has more than 9350 alumni across the globe. ISB&M offers PG diploma courses in the discipline of Management across 5 specializations including Marketing, Human Resources, Finance, Business Analytics, Media and Communication Management, Operation and Supply Chain Management and SCOM. Admission is done on the basis of the performance of the candidates in the previous qualifying examinations followed by Group Discussion and Personal Interview. Candidates can apply to ISB&M online via the institute’s official website. "
International School of Business and Media (ISB&M),"Kolkata,  West Bengal",AICTE,Estd 2004,Private,7.8,"Thapar Institute of Engineering and Technology (TIET), formerly known as Thapar University, is a private Deemed-to-be University established in 1956 in Patiala, Punjab. Thapar University is a top-ranked innovation-driven private university accredited with an 'A+' Grade by NAAC. Thapar University has been ranked 22nd among all Private and Government Universities in India by NIRF Ranking 2023. The university is ranked 40th in the Overall Category, 20th in Engineering, 49th in Management, and 34th in Research by NIRF 2023. TIET offers UG, PG, and, Ph.D. degrees in various specializations in the field of Engineering, Management, Science, and Liberal Arts."
Thapar University,"Patiala,  Punjab",AICTE,Estd 1956,Deemed to be University,7.7,"Sacred Heart College, Kochi, is a pioneer institute of higher education. The institute was established in 1944 by the Carmelites of Mary Immaculate (CMI). It is affiliated to Mahatma Gandhi University, Kerala, India. In the year 2000, the college was accredited by the NAAC and was reaccredited at the A level. The students are allocated marks through CBCSS mode. The average salary package is 4-6 lakhs,"
Sacred Heart College,"Ernakulam,  Kerala",,Estd 1944,Private (Autonomous),8.5,"Indian Institute of Journalism & New Media (IIJNM) Bangalore is one of the top post-graduate journalism and media colleges in South Asia. The institute was established in the year 2000 and is a private college located in Bangalore. IIJNM offers a curriculum developed in association with Columbia University Graduate School of Journalism, New York. IIJNM Mass Communications Ranking by India Today is 9 out of 55 colleges in India in 2023. "
Indian Institute of Journalism & New Media Bangalore,"Bangalore,  Karnataka",,Estd 2000,Private,9.1,"Rajagiri College of Social Sciences Cochin, Kerala is an autonomous institute established in 1955. The college is affiliated to Mahatma Gandhi University. The college has ranked 30 in All India College Category by NIRF 2023. It offers a variety of undergraduate, postgraduate, Research & diploma programs. Admission to all the courses is on the basis of merit and entrance test. The admission to the M.Sc. programme shall be based on the Entrance Examination conducted by Rajagiri College of Social Sciences, Kalamassery as well as the Academic Performance of the candidate."
Rajagiri College of Social Sciences (RCSS),"Kochi,  Kerala","AICTE, UGC, AIU",Estd 1955,Private (Autonomous),8.0,Presidency College is an autonomous college founded by the Presidency Group of Institutions in Bangalore and was started in the year 2000. The college is affiliated to Bangalore University and is approved by AICTE. The college has been re-accredited by NAAC with A+ Grade. Presidency College is ranked 1st in India for BBA in a survey conducted by the GHRDC. Presidency College Bangalore offers UG & PG programs. MBA & MCA are the flagship courses offered by Presidency College. The college accepts admission for MBA/MCA courses through KMAT/Karnataka PGCET. 
Presidency College Bangalore,"Bangalore,  Karnataka",AICTE,Estd 2000,Private (Autonomous),7.9,
"CMS Institute of Management Studies - [CMSIMS], Coimbatore","Coimbatore,  Tamil Nadu",AICTE,Estd 1994,Private,,
"NSHM Knowledge Campus, Kolkata","Kolkata,  West Bengal","AICTE, PCI, NBA",Estd 1996,Private,7.9,"Faculty of Law of Jamia Millia Islamia located at South Delhi came into existence in 1989. The college was started to meet the demand of qualified and skilled professionals. The college is a saga of dedication, conviction and vision of the people who worked against all odds and saw it growing step by step. The college has made significant progress in terms of restricting of courses and syllabi, introducing new courses, experimenting with innovative techniques of imparting legal education and strengthening its clinical programme in order to give due emphasis to the expanding horizons of the legal profession. The faculty of law is striving to be an institution of excellence in legal education."
"Faculty of Law Jamia Millia Islamia University, New Delhi","New Delhi,  Delhi NCR",BCI,Estd 1989,Public,8.2,"Amity University is a private university located in Gwalior, Madhya Pradesh and was established in the year 2010. The institute is approved by All India Council of Technical Education (AICTE) and The University Grants Commission of India (UGC). Amity University is also accredited by Bar Council of India (BCI) and Council of Architecture. The Institute offers various UG, Integrated, PG, M.Phil. and Ph.D. courses. Admissions to most of the courses will be done on the basis of Entrance Exams conducted by the University whereas, for few of them, scores obtained in External Entrance Exams will be considered."
Amity University Gwalior,"Gwalior,  Madhya Pradesh","AICTE, COA, PCI, UGC",Estd 2010,Private University,8.1,"Gujarat National Law University (GNLU) was established in the year of 2003. It is Located in the heart of Gujarat: Gandhinagar and it is one of the most prestigious law universities of the state. The university is recognised under the Gujarat National Law University Act in the year 2003. The university offers various UG, PG, and Doctorate courses falling under the field of Law, Management, and Arts."
GNLU,"Gandhinagar,  Gujarat",BCI,Estd 2003,State University,8.4,"Daulat Ram College is a women’s college which is a constituent college of Delhi University. It was founded in 1960 and is situated at the heart of North Campus. DRC is accredited by the NAAC with a grade ‘A’ and is ranked 28th among all colleges of India by the NIRF 2023. As per India Today Ranking 2023, It also ranks 15th and 9th in Arts and Science category. "
Daulat Ram College,"New Delhi,  Delhi NCR",UGC,Estd 1960,Public,8.0,
"Institute of Business Studies and Research - [IBSAR], Navi Mumbai","Navi Mumbai,  Maharashtra",AICTE,Estd 2004,Private,6.1,"Rajiv Gandhi National University of Law (RGNUL), Punjab, was established by the State Legislature of Punjab in 2006. The University offers an integrated B.A.-L.L.B. Hons.(Bachelor of arts-Bachelor of legislative law) course, L.L.M.( Master of Law) and PHD in several specialisations."
RGNUL,"Patiala,  Punjab","BCI, UGC",Estd 2006,State University,7.6,
"Goa College of Pharmacy, Panji","Panji,  Goa","AICTE, PCI",Estd 1963,Public,5.2,"Kirloskar Institute of Management (KIM), Pune is a private self-financed institute established in 2010. It has two campuses namely- KIM Harihar & KIM Pune. KIM Pune campus came into existence in 2010 and is approved by AICTE. The Business School has been ranked 77 out of 119 Top Private Colleges in India 2021 by Outlook and ranked A++ consistently by Business India. "
KIM Pune,"Pune,  Maharashtra",AICTE,Estd 2010,Private,8.5,KJSAC (KJ Somaiya College of Arts & Commerce) is one of the premier institutions that was established in the year 1959. The college is affiliated to the University of Mumbai and recognized by UGC. It has also been credited NAAC Grade “A” and has over 50 years of excellence.
KJSAC,"Mumbai,  Maharashtra",,Estd 1964,Private (Autonomous),8.1,Institute of Hotel Management (IHM) has been the foremost center for ideal and a lively testament of compact of hospitality education. Government of India and the Government of Gujrat had established it as Food Craft Institute when it was further upgraded and change to Institute Of Hotel Management Nutrition And Catering .I t is one of the longest running institutes in Gujrat. This institute has been proven to be a boon for the service sector.
"Institute of Hotel Management - [IHM], Gandhinagar","Gandhinagar,  Gujarat",,Estd 1972,Government,8.2,"National Law Institute University, Bhopal was established in 1997 by the Madhya Pradesh Government. The university has been recognised by UGC and BCI. With the help of well trained mentors and teachers, the university has thrived to excellence. The eco friendly 40 acres campus is a soothing place for the students. NLIU stands 18th in the ranking listed by the NIRF 2023."
NLIU Bhopal,"Bhopal,  Madhya Pradesh","BCI, UGC",Estd 1997,State University,8.4,"International School of Informatics and Management (IIIM) Jaipur, established in 1995 is among the top three management and IT institutes of Rajasthan. It offers MBA and MCA courses and admissions are based on merit."
"International School of Informatics and Management - [IIIM], Jaipur","Jaipur,  Rajasthan",AICTE,Estd 1995,Private,7.8,
"Ajay Kumar Garg Institute of Management - [AKGIM], Ghaziabad","Ghaziabad,  Uttar Pradesh",AICTE,Estd 2008,Private,8.5,"Maitreyi College is an all women’s college and one of the affiliated colleges of the University of Delhi established in 1967 in Chanakyapuri, New Delhi. Maitreyi College comes under the South Campus of DU. It is accredited by NAAC A ++ Grade. It carries the accolade of being a star college for its Science Departments by the Department of Biotechnology, Government of India. Maitreyi College offers 31 UG courses and 3 PG courses in Arts, Commerce and Science in various specialisations with a highly qualified and experienced faculty. Maitreyi College has achieved the 36th position in India among private and government colleges according to the surveys conducted by the NIRF in the year 2023. There are 17 departments under the institute. The campus of Maitreyi College is huge and surrounded by lush greenery. Besides, the college also has large playgrounds and a newly constructed four-storey science block with fully equipped laboratories, lecture theatres, classrooms and faculty rooms. Maitreyi College also provides accommodation facilities. Apart from all these facilities, the college also organises extracurricular activities and achieves great success in the fields of sports, NSS, NCC and other cultural activities. "
"Maitreyi College, Delhi","New Delhi,  Delhi NCR",,Estd 1967,Public,7.8,"Established in 2006, MIMA Institute of Management formerly known as MITCON Institute of Management is one of the prestigious institutes located in Pune and founded and managed by the renowned MITCON Consultancy & Engineering Services Ltd, An ISO 9001: 2008 certified company. Since its inception, the Institute has been successful in providing trained industry-ready professionals. MIMA Pune offers AICTE approved rigorous two-year full-time Management Programme under three verticals including PGDM Agri-Business Management, PGDM Pharmaceutical Management, and PGDM Business Administration. Admission to MIMA Institute of Management is offered on the basis of CET-MAH-MBA/MMS conducted by DTE, Maharashtra State as well as CAT, MAT, XAT, ATMA, CMAT scores. Followed by GD & PI rounds conducted by the Institute."
MIMA Institute of Management,"Pune,  Maharashtra",AICTE,Estd 2006,Private,7.6,"B.K Birla College of Arts, Science, and Commerce was established in the year 1972 by Kalyan Citizens’ Education Society in Thane, Maharashtra. The college is affiliated to the University of Mumbai and has been granted autonomous status by University Grants Commission (UGC). The college has been accredited by NAAC with Grade ‘A’."
BK Birla College,"Thane,  Maharashtra",,Estd 1972,Private,7.6,"Indian law Institute widely known as ILI was established in 1956. The institute was inaugurated by the first president of India Dr.Rajendra Prasad in presence of various government officials and other judges. The government of India granted the status of the deemed university to ILI in 2004. The institute offers LLM, Ph.D., postgraduate in diploma, and online certificate programs. The main objective of ILI is to motivate and promote the science of law and to contribute to reforming the administration of justice."
"Indian law Institute, New Delhi","New Delhi,  Delhi NCR",BCI,Estd 1956,Deemed to be University,7.6,"Ramjas College is affiliated with Delhi University and is considered as one of the oldest universities to be affiliated with DU. The college was founded in 1917 by the great educationist and philanthropist, Rai Kedar Nath. Ramjas College is accredited by the NAAC and is approved by the AIU. It has been ranked 67 by NIRF 2023 in the Overall University Category. "
Ramjas College Delhi,"New Delhi,  Delhi NCR",,Estd 1917,Public,7.9,"Chandragupt Institute of Management Patna (CIMP), Patna was established as an autonomous institution in 2008 with active support from the Government of Bihar. Since then CIMP has been contributing substantially to the academic and development credentials of Bihar while fulfilling the primary role of training students to become professional managers. CIMP offers a Post Graduate Diploma in Management, Fellow Program and an Executive Program in Management (for working professionals) sponsored by the Government of Bihar. In a short span of 12 years, CIMP’s achievements are known to the corporate world and have been able to place its graduates in various companies of national and international repute.Direct Link to Apply for CIMP Admission"
"Chandragupt Institute of Management, Patna","Patna,  Bihar","AICTE, NBA, AIU",Estd 2008,Public (Autonomous),8.4,Year of establishment
"Veterinary College and Research Institute - [VCRI], Chennai","Chennai,  Tamil Nadu",ICAR,Estd 1985,Private,7.7,"Dr. Ram Manohar Lohiya National Law University (RMLNLU) is a state level university, situated in the city of Lucknow in the Indian state of Uttar Pradesh. It is an excellent center of learning provides law education. The standard of education is extremely high and only the best students are known to be recruited into the university. Check RMLNLU Courses."
